Model,AUC,ACC,RMSE
BKT,N/A,N/A,N/A
DKVMN,N/A,N/A,N/A
DKT_Q,N/A,N/A,N/A
DKT_KC,N/A,N/A,N/A
DKT_MLP,N/A,N/A,N/A
DIRT_1,N/A,N/A,N/A
DIRT_2,N/A,N/A,N/A
DIRT_3,N/A,N/A,N/A
DIRT_4,N/A,N/A,N/A
DNeuralCDM_1,N/A,N/A,N/A
DNeuralCDM_2,N/A,N/A,N/A
DNeuralCDM_3,N/A,N/A,N/A
DNeuralCDM_4,N/A,N/A,N/A
DIRT+_1,0.7120955176484459,0.6942341586235837,0.4661775254489645
DIRT+_2,0.7495485429116118,0.7294838438942509,0.45446125125999115
DIRT+_3,0.7472484462208492,0.7334116659672681,0.45464063246378544
DIRT+_4,0.745831843697001,0.732656315568611,0.4548985891994013
